Player,Pos,Team,Total Value,APY,TotalGuaranteed,AVGGuranteeYear, %Guaranteed,,23624.82895,456 IN LOWER CLASS,,23.218,,,,
Ja'Marcus Ingram,CB,Bills,1952500,976250,7500,3750,0,,,,,,,,,
Kyle Hinton,RG,Falcons,1955000,977500,100000,50000,0.05,,,,,,,,,
Alex Forsyth,C,Broncos,3917784,979446,77784,19446,0.02,,,,,,,,,
Desjuan Johnson,IDL,Rams,3917784,979446,77784,19446,0.02,,,,,,,,,
Moro Ojomo,IDL,Eagles,3917784,979446,77784,19446,0.02,,,,,,,,,
Ronnie Bell,WR,49ers,3917784,979446,77784,19446,0.02,,,,,,,,,
Spencer Anderson,RG,Steelers,3917784,979446,77784,19446,0.02,,,,,,,,,
D.J. Ivey,CB,Bengals,3920656,980164,80656,20164,0.02,,,,,,,,,
Jalen Brooks,WR,Cowboys,3922356,980589,82356,20589,0.02,,,,,,,,,
Jordon Riley,IDL,Giants,3923032,980758,83032,20758,0.02,,,,,,,,,
Anthony Johnson Jr.,S,Giants,3923764,980941,83764,20941,0.02,,,,,,,,,
Cory Trice,CB,Steelers,3924436,981109,84436,21109,0.02,,,,,,,,,
Kenny McIntosh,RB,Seahawks,3930852,982646,90852,22713,0.02,,,,,,,,,
Dominique Robinson,EDGE,Bears,3933152,983288,273152,68288,0.07,,,,,,,,,
Anthony Schwartz,WR,Dolphins,985000,985000,0,0,0,,,,,,,,,
Ar'Darius Washington,S,Ravens,985000,985000,0,0,0,,,,,,,,,
Ben Stille,IDL,Buccaneers,985000,985000,0,0,0,,,,,,,,,
Benton Whitley,EDGE,Giants,985000,985000,0,0,0,,,,,,,,,
Cal Adomitis,LS,Bengals,985000,985000,0,0,0,,,,,,,,,
Cameron McGrone,LB,Colts,985000,985000,0,0,0,,,,,,,,,
Chris Williams,IDL,Bears,985000,985000,0,0,0,,,,,,,,,
Christian Elliss,LB,Patriots,985000,985000,0,0,0,,,,,,,,,
Christian Matthew,CB,Ravens,985000,985000,0,0,0,,,,,,,,,
Cole Christiansen,LB,Chiefs,985000,985000,0,0,0,,,,,,,,,
D'Angelo Ross,CB,Texans,985000,985000,0,0,0,,,,,,,,,
Darrell Baker Jr.,CB,Titans,985000,985000,0,0,0,,,,,,,,,
Darren Hall,CB,Cardinals,985000,985000,0,0,0,,,,,,,,,
Earnest Brown IV,EDGE,Buccaneers,985000,985000,0,0,0,,,,,,,,,
Eric Banks,IDL,Buccaneers,985000,985000,0,0,0,,,,,,,,,
Feleipe Franks,QB,Panthers,985000,985000,0,0,0,,,,,,,,,
Foster Sarell,LT,Chargers,985000,985000,0,0,0,,,,,,,,,
Isaiah Pola-Mao,S,Raiders,985000,985000,0,0,0,,,,,,,,,
Jack Cochrane,LB,Chiefs,985000,985000,0,0,0,,,,,,,,,
Jack Gibbens,LB,Titans,985000,985000,0,0,0,,,,,,,,,
Jesse Luketa,EDGE,Cardinals,985000,985000,0,0,0,,,,,,,,,
Josh Blackwell,CB,Bears,985000,985000,0,0,0,,,,,,,,,
Julius Chestnut,RB,Titans,985000,985000,0,0,0,,,,,,,,,
Kayode Awosika,LG,Lions,985000,985000,0,0,0,,,,,,,,,
Liam McCullough,LS,Falcons,985000,985000,0,0,0,,,,,,,,,
Malik Herring,EDGE,Chiefs,985000,985000,0,0,0,,,,,,,,,
Milo Eifler,LB,Falcons,985000,985000,0,0,0,,,,,,,,,
Myles Adams,IDL,Seahawks,985000,985000,0,0,0,,,,,,,,,
Nate Landman,LB,Falcons,985000,985000,0,0,0,,,,,,,,,
Nick Muse,TE,Vikings,985000,985000,0,0,0,,,,,,,,,
Nick Thurman,IDL,Panthers,985000,985000,0,0,0,,,,,,,,,
Quintin Morris,TE,Bills,985000,985000,0,0,0,,,,,,,,,
Quinton Bell,EDGE,Dolphins,985000,985000,0,0,0,,,,,,,,,
Raheem Blackshear,RB,Panthers,985000,985000,0,0,0,,,,,,,,,
Ronnie Rivers,RB,Rams,985000,985000,0,0,0,,,,,,,,,
Russ Yeast,S,Panthers,985000,985000,0,0,0,,,,,,,,,
Ryan Neuzil,C,Falcons,985000,985000,0,0,0,,,,,,,,,
Sam Kamara,IDL,Browns,985000,985000,0,0,0,,,,,,,,,
Sam Webb,CB,Raiders,985000,985000,0,0,0,,,,,,,,,
Stephen Carlson,TE,Bears,985000,985000,0,0,0,,,,,,,,,
Tarron Jackson,EDGE,Panthers,985000,985000,0,0,0,,,,,,,,,
Theo Jackson,S,Vikings,985000,985000,0,0,0,,,,,,,,,
Tim Jones,WR,Jaguars,985000,985000,0,0,0,,,,,,,,,
Trevor Denbow,S,Colts,985000,985000,0,0,0,,,,,,,,,
Trishton Jackson,WR,Vikings,985000,985000,0,0,0,,,,,,,,,
Zachary Thomas,RG,Patriots,985000,985000,0,0,0,,,,,,,,,
Carrington Valentine,CB,Packers,3940660,985165,100660,25165,0.03,,,,,,,,,
Nick Broeker,LG,Texans,3942100,985525,102100,25525,0.03,,,,,,,,,
Andrew Vorhees,LG,Ravens,3942112,985528,102112,25528,0.03,,,,,,,,,
Colton Dowell,WR,Titans,3942696,985674,102696,25674,0.03,,,,,,,,,
Samuel Womack,CB,Colts,3943324,985831,283324,70831,0.07,,,,,,,,,
Cooper Hodges,RT,Jaguars,3945492,986373,105492,26373,0.03,,,,,,,,,
Jovaughn Gwyn,LG,Falcons,3945828,986457,105828,26457,0.03,,,,,,,,,
DeMarcco Hellams,S,Falcons,3946300,986575,106300,26575,0.03,,,,,,,,,
Luke Wattenberg,LG,Broncos,3947716,986929,287716,71929,0.07,,,,,,,,,
Ethan Evans,P,Rams,3948000,987000,108000,27000,0.03,,,,,,,,,
Jaylon Jones,CB,Colts,3953480,988370,113480,28370,0.03,,,,,,,,,
Antoine Green,WR,Lions,3956760,989190,116760,29190,0.03,,,,,,,,,
Ty Chandler,RB,Vikings,3958844,989711,298844,74711,0.08,,,,,,,,,
Braxton Jones,LT,Bears,3959548,989887,299548,74887,0.08,,,,,,,,,
Jake Bates,K,Lions,1980000,990000,150000,75000,0.08,,,,,,,,,
DaRon Bland,CB,Cowboys,3964788,991197,304788,76197,0.08,,,,,,,,,
Tycen Anderson,S,Bengals,3966084,991521,306084,76521,0.08,,,,,,,,,
Kyren Williams,RB,Rams,3970408,992602,310408,77602,0.08,,,,,,,,,
Brad Robbins,P,Bengals,3973332,993333,133332,33333,0.03,,,,,,,,,
Dante Stills,IDL,Cardinals,3973332,993333,133332,33333,0.03,,,,,,,,,
Dee Winters,LB,49ers,3973332,993333,133332,33333,0.03,,,,,,,,,
Demario Douglas,WR,Patriots,3973332,993333,133332,33333,0.03,,,,,,,,,
Deuce Vaughn,RB,Cowboys,3973332,993333,133332,33333,0.03,,,,,,,,,
D'Marco Jackson,LB,Saints,3976916,994229,316916,79229,0.08,,,,,,,,,
Otito Ogbonnia,IDL,Chargers,3978888,994722,318888,79722,0.08,,,,,,,,,
D'Ante Smith,RT,Bengals,3979344,994836,499344,124836,0.13,,,,,,,,,
Eric Johnson,IDL,Patriots,3980740,995185,320740,80185,0.08,,,,,,,,,
Zyon McCollum,CB,Buccaneers,3981732,995433,321732,80433,0.08,,,,,,,,,
Jerome Ford,RB,Browns,3982148,995537,322148,80537,0.08,,,,,,,,,
Matt Waletzko,RT,Cowboys,3983492,995873,323492,80873,0.08,,,,,,,,,
Tre Hawkins,CB,Giants,3989520,997380,149520,37380,0.04,,,,,,,,,
Garret Wallow,LB,Titans,1995000,997500,0,0,0,,,,,,,,,
Roy Lopez,IDL,Cardinals,1995000,997500,0,0,0,,,,,,,,,
Tariq Woolen,CB,Seahawks,3992216,998054,332216,83054,0.08,,,,,,,,,
Delarrin Turner-Yell,S,Broncos,3993048,998262,333048,83262,0.08,,,,,,,,,
Tyler Allgeier,RB,Falcons,3993888,998472,333888,83472,0.08,,,,,,,,,
Andrei Iosivas,WR,Bengals,3999392,999848,159392,39848,0.04,,,,,,,,,
Xavier Hutchinson,WR,Texans,4003700,1000925,163700,40925,0.04,,,,,,,,,
Jarrick Bernard-Converse,CB,Jets,4004384,1001096,164384,41096,0.04,,,,,,,,,
Amari Burney,S,Raiders,4005116,1001279,165116,41279,0.04,,,,,,,,,
Khalil Shakir,WR,Bills,4007152,1001788,347152,86788,0.09,,,,,,,,,
Jarrett Patterson,C,Texans,4009976,1002494,169976,42494,0.04,,,,,,,,,
Zayne Anderson,S,Packers,2005000,1002500,10000,5000,0.01,,,,,,,,,
Scott Matlock,IDL,Chargers,4012292,1003073,172292,43073,0.04,,,,,,,,,
Sala Aumavae-Laulu,LG,Ravens,4013192,1003298,173192,43298,0.04,,,,,,,,,
D.J. Davidson,IDL,Giants,4014120,1003530,354120,88530,0.09,,,,,,,,,
Jerrick Reed,S,Seahawks,4014800,1003700,174800,43700,0.04,,,,,,,,,
Micah McFadden,LB,Giants,4015704,1003926,355704,88926,0.09,,,,,,,,,
Elijah Higgins,WR,Cardinals,4015880,1003970,175880,43970,0.04,,,,,,,,,
A.T. Perry,WR,Saints,4016364,1004091,176364,44091,0.04,,,,,,,,,
Bryce Baringer,P,Patriots,4018456,1004614,178456,44614,0.04,,,,,,,,,
Trey Palmer,WR,Buccaneers,4019296,1004824,179296,44824,0.05,,,,,,,,,
Luke Wypler,RG,Browns,4019972,1004993,179972,44993,0.05,,,,,,,,,
Sam Howell,QB,Seahawks,4021600,1005400,361600,90400,0.09,,,,,,,,,
Tanner McKee,QB,Eagles,4026520,1006630,186520,46630,0.05,,,,,,,,,
Kayshon Boutte,WR,Patriots,4027274,1006819,187274,46819,0.05,,,,,,,,,
Jaelyn Duncan,RT,Titans,4029808,1007452,189808,47452,0.05,,,,,,,,,
Parker Washington,WR,Jaguars,4032264,1008066,192264,48066,0.05,,,,,,,,,
Zaire Barnes,LB,Jets,4033568,1008392,193568,48392,0.05,,,,,,,,,
J.L. Skinner,S,Broncos,4036224,1009056,196224,49056,0.05,,,,,,,,,
Tre Tomlinson,CB,Rams,4039852,1009963,199852,49963,0.05,,,,,,,,,
Isaiah Rodgers,CB,Eagles,1010000,1010000,0,0,0,,,,,,,,,
Josh Hayes,S,Buccaneers,4044376,1011094,204376,51094,0.05,,,,,,,,,
Kei'Trel Clark,CB,Cardinals,4048600,1012150,208600,52150,0.05,,,,,,,,,
Karl Brooks,IDL,Packers,4052028,1013007,212028,53007,0.05,,,,,,,,,
Asim Richards,LG,Cowboys,4084980,1021245,244980,61245,0.06,,,,,,,,,
Christopher Smith,S,Raiders,4084980,1021245,244980,61245,0.06,,,,,,,,,
Davis Allen,TE,Rams,4084980,1021245,244980,61245,0.06,,,,,,,,,
Eric Gray,RB,Giants,4084980,1021245,244980,61245,0.06,,,,,,,,,
Henry To'oTo'o,LB,Texans,4084980,1021245,244980,61245,0.06,,,,,,,,,
Owen Pappoe,LB,Cardinals,4084980,1021245,244980,61245,0.06,,,,,,,,,
Payne Durham,TE,Buccaneers,4084980,1021245,244980,61245,0.06,,,,,,,,,
Puka Nacua,WR,Rams,4084980,1021245,244980,61245,0.06,,,,,,,,,
Robert Beal Jr.,EDGE,49ers,4084980,1021245,244980,61245,0.06,,,,,,,,,
Warren McClendon,LT,Rams,4084980,1021245,244980,61245,0.06,,,,,,,,,
Shane Buechele,QB,Bills,1025000,1025000,40000,40000,0.04,,,,,,,,,
Jaylen Harrell,EDGE,Titans,4100736,1025184,80736,20184,0.02,,,,,,,,,
K.T. Leveston,LG,Rams,4100736,1025184,80736,20184,0.02,,,,,,,,,
Tatum Bethune,LB,49ers,4101808,1025452,81808,20452,0.02,,,,,,,,,
Sanoussi Kane,S,Ravens,4102932,1025733,82932,20733,0.02,,,,,,,,,
LaDarius Henderson,LG,Texans,4103716,1025929,83716,20929,0.02,,,,,,,,,
C.J. Hanson,RG,Chiefs,4104784,1026196,84784,21196,0.02,,,,,,,,,
Devin Culp,TE,Buccaneers,4106184,1026546,86184,21546,0.02,,,,,,,,,
James Williams,LB,Titans,4109492,1027373,89492,22373,0.02,,,,,,,,,
Tahj Washington,WR,Dolphins,4110396,1027599,90396,22599,0.02,,,,,,,,,
B.J. Thompson,EDGE,Chiefs,4111648,1027912,271648,67912,0.07,,,,,,,,,
Terell Smith,CB,Bears,4115884,1028971,275884,68971,0.07,,,,,,,,,
Tre Brown,CB,Seahawks,4120664,1030166,640664,160166,0.16,,,,,,,,,
Matt Lee,C,Bengals,4121752,1030438,101752,25438,0.03,,,,,,,,,
Myles Cole,EDGE,Jaguars,4124076,1031019,104076,26019,0.03,,,,,,,,,
DeVaughn Vele,WR,Broncos,4124480,1031120,104480,26120,0.03,,,,,,,,,
Jonah Laulu,IDL,Raiders,4124520,1031130,104520,26130,0.03,,,,,,,,,
Nathan Thomas,LT,Cowboys,4125972,1031493,105972,26493,0.03,,,,,,,,,
Levi Drake Rodriguez,IDL,Vikings,4125988,1031497,105988,26497,0.03,,,,,,,,,
Chase Brown,RB,Bengals,4126156,1031539,286156,71539,0.07,,,,,,,,,
Jaheim Bell,TE,Patriots,4126592,1031648,106592,26648,0.03,,,,,,,,,
Michael Jurgens,C,Vikings,4128740,1032185,108740,27185,0.03,,,,,,,,,
Nick Samac,C,Ravens,4129844,1032461,109844,27461,0.03,,,,,,,,,
Myles Harden,CB,Browns,4130332,1032583,110332,27583,0.03,,,,,,,,,
Will Mallory,TE,Colts,4130592,1032648,290592,72648,0.07,,,,,,,,,
Brenden Rice,WR,Chargers,4134592,1033648,114592,28648,0.03,,,,,,,,,
Daijahn Anthony,S,Bengals,4137784,1034446,117784,29446,0.03,,,,,,,,,
Trey Taylor,S,Raiders,4138728,1034682,118728,29682,0.03,,,,,,,,,
Nick Hampton,EDGE,Rams,4139108,1034777,299108,74777,0.07,,,,,,,,,
Javontae Jean-Baptiste,EDGE,Commanders,4141188,1035297,121188,30297,0.03,,,,,,,,,
Travis Clayton,RG,Bills,4141584,1035396,121584,30396,0.03,,,,,,,,,
Antonio Johnson,S,Jaguars,4141832,1035458,301832,75458,0.07,,,,,,,,,
Dontayvion Wicks,WR,Packers,4142544,1035636,302544,75636,0.07,,,,,,,,,
Daniel Scott,S,Colts,4147836,1036959,307836,76959,0.07,,,,,,,,,
Jordan McFadden,LG,Chargers,4152140,1038035,312140,78035,0.08,,,,,,,,,
Darrell Luter Jr.,CB,49ers,4153512,1038378,313512,78378,0.08,,,,,,,,,
Olusegun Oluwatimi,C,Seahawks,4156460,1039115,316460,79115,0.08,,,,,,,,,
SirVocea Dennis,LB,Buccaneers,4157328,1039332,317328,79332,0.08,,,,,,,,,
Beaux Limmer,C,Rams,4158388,1039597,138388,34597,0.03,,,,,,,,,
Cam Little,K,Jaguars,4158388,1039597,138388,34597,0.03,,,,,,,,,
Cedric Johnson,EDGE,Bengals,4158388,1039597,138388,34597,0.03,,,,,,,,,
Christian Mahogany,RG,Lions,4158388,1039597,138388,34597,0.03,,,,,,,,,
Elijah Klein,LG,Buccaneers,4158388,1039597,138388,34597,0.03,,,,,,,,,
Jarrett Kingston,LG,Panthers,4158388,1039597,138388,34597,0.03,,,,,,,,,
Jordan Whittington,WR,Rams,4158388,1039597,138388,34597,0.03,,,,,,,,,
Joshua Karty,K,Rams,4158388,1039597,138388,34597,0.03,,,,,,,,,
Ryan Flournoy,WR,Cowboys,4158388,1039597,138388,34597,0.03,,,,,,,,,
Colby Sorsdal,RG,Lions,4160084,1040021,320084,80021,0.08,,,,,,,,,
Mike Morris,EDGE,Seahawks,4162076,1040519,322076,80519,0.08,,,,,,,,,
Calvin Austin III,WR,Steelers,4164336,1041084,504336,126084,0.12,,,,,,,,,
Chigoziem Okonkwo,TE,Titans,4164336,1041084,504336,126084,0.12,,,,,,,,,
Cobie Durant,CB,Rams,4164336,1041084,504336,126084,0.12,,,,,,,,,
Isaiah Likely,TE,Ravens,4164336,1041084,504336,126084,0.12,,,,,,,,,
Zach Tom,RT,Packers,4164336,1041084,504336,126084,0.12,,,,,,,,,
Noah Sewell,LB,Bears,4164948,1041237,324948,81237,0.08,,,,,,,,,
Tylan Wallace,WR,Ravens,4165356,1041339,685356,171339,0.17,,,,,,,,,
Josh Whyle,TE,Titans,4165368,1041342,325368,81342,0.08,,,,,,,,,
Jordan Howden,S,Saints,4166728,1041682,326728,81682,0.08,,,,,,,,,
Jammie Robinson,S,Panthers,4169532,1042383,329532,82383,0.08,,,,,,,,,
Corliss Waitman,P,Steelers,2085000,1042500,0,0,0,,,,,,,,,
Tanner Conner,WR,Dolphins,2085000,1042500,0,0,0,,,,,,,,,
Dylan Laube,RB,Raiders,4175192,1043798,155192,38798,0.04,,,,,,,,,
Israel Abanikanda,RB,Jets,4176380,1044095,336380,84095,0.08,,,,,,,,,
Cameron Mitchell,CB,Browns,4177228,1044307,337228,84307,0.08,,,,,,,,,
Dan Moore Jr.,LT,Steelers,4177900,1044475,697900,174475,0.17,,,,,,,,,
Mike Jerrell,RT,Seahawks,4180060,1045015,160060,40015,0.04,,,,,,,,,
Dorian Thompson-Robinson,QB,Browns,4182268,1045567,342268,85567,0.08,,,,,,,,,
Kylen Granson,TE,Colts,4186364,1046591,706364,176591,0.17,,,,,,,,,
Tylan Grable,LT,Bills,4189912,1047478,169912,42478,0.04,,,,,,,,,
Will Reichard,K,Vikings,4190620,1047655,170620,42655,0.04,,,,,,,,,
Clayton Tune,QB,Cardinals,4190624,1047656,350624,87656,0.08,,,,,,,,,
Travis Glover,LT,Packers,4191380,1047845,171380,42845,0.04,,,,,,,,,
Chuba Hubbard,RB,Panthers,4193172,1048290,713172,178293,0.17,,,,,,,,,
Jaden Crumedy,IDL,Panthers,4196424,1049106,176424,44106,0.04,,,,,,,,,
Camryn Bynum,S,Vikings,4197812,1049453,717812,179453,0.17,,,,,,,,,
Khristian Boyd,IDL,Saints,4198828,1049707,178828,44707,0.04,,,,,,,,,
Patrick McMorris,S,Dolphins,4199764,1049941,179764,44941,0.04,,,,,,,,,
John Bates,TE,Commanders,4202416,1050604,722416,180604,0.17,,,,,,,,,
Tyler Davis,IDL,Rams,4202552,1050638,182552,45638,0.04,,,,,,,,,
Ryan Watts,CB,Steelers,4202684,1050671,182684,45671,0.04,,,,,,,,,
Tanner McLachlan,TE,Bengals,4203056,1050764,183056,45764,0.04,,,,,,,,,
Joe Milton III,QB,Patriots,4203316,1050829,183316,45829,0.04,,,,,,,,,
Yasir Abdullah,LB,Jaguars,4205216,1051304,365216,91304,0.09,,,,,,,,,
Mekhi Wingo,IDL,Lions,4206800,1051700,186800,46700,0.04,,,,,,,,,
Jamal Hill,LB,Texans,4209392,1052348,189392,47348,0.05,,,,,,,,,
Casey Washington,WR,Falcons,4213596,1053399,193596,48399,0.05,,,,,,,,,
Jase McClellan,RB,Falcons,4214368,1053592,194368,48592,0.05,,,,,,,,,
Johnny Wilson,WR,Eagles,4217008,1054252,197008,49252,0.05,,,,,,,,,
Malik Washington,WR,Dolphins,4219560,1054890,199560,49890,0.05,,,,,,,,,
Bennett Skowronek,WR,Steelers,1055000,1055000,0,0,0,,,,,,,,,
Cole Van Lanen,LG,Jaguars,1055000,1055000,0,0,0,,,,,,,,,
Curtis Robinson,LB,49ers,1055000,1055000,0,0,0,,,,,,,,,
Darrynton Evans,RB,Bills,1055000,1055000,0,0,0,,,,,,,,,
Gary Brightwell,RB,Browns,1055000,1055000,0,0,0,,,,,,,,,
Harrison Hand,CB,Falcons,1055000,1055000,0,0,0,,,,,,,,,
Ihmir Smith-Marsette,WR,Giants,1055000,1055000,0,0,0,,,,,,,,,
Jack Stoll,TE,Eagles,1055000,1055000,0,0,0,,,,,,,,,
Jacob Harris,WR,Eagles,2110000,1055000,25000,12500,0.01,,,,,,,,,
Jake Hanson,C,Jets,1055000,1055000,0,0,0,,,,,,,,,
James Lynch,IDL,Titans,1055000,1055000,0,0,0,,,,,,,,,
Malik Taylor,WR,Jets,1055000,1055000,0,0,0,,,,,,,,,
Marlon Davidson,IDL,Titans,1055000,1055000,0,0,0,,,,,,,,,
Marlon Tuipulotu,IDL,Chiefs,1055000,1055000,0,0,0,,,,,,,,,
Naquan Jones,IDL,Cardinals,1055000,1055000,0,0,0,,,,,,,,,
Netane Muti,RG,Lions,1055000,1055000,0,0,0,,,,,,,,,
Nsimba Webster,WR,Bears,1055000,1055000,0,0,0,,,,,,,,,
Parker Hesse,TE,Lions,1055000,1055000,0,0,0,,,,,,,,,
Patrick Taylor,RB,49ers,1055000,1055000,0,0,0,,,,,,,,,
Quinn Bailey,RG,Broncos,1055000,1055000,0,0,0,,,,,,,,,
Rashad Weaver,LB,Texans,1055000,1055000,0,0,0,,,,,,,,,
Scott Daly,LS,Bears,1055000,1055000,0,0,0,,,,,,,,,
Shane Lemieux,LG,Saints,1055000,1055000,0,0,0,,,,,,,,,
Simi Fehoko,WR,Chargers,1055000,1055000,0,0,0,,,,,,,,,
Trey Sermon,RB,Colts,1055000,1055000,0,0,0,,,,,,,,,
Darius Muasau,LB,Giants,4220912,1055228,200912,50228,0.05,,,,,,,,,
Jha'Quan Jackson,WR,Titans,4223668,1055917,203668,50917,0.05,,,,,,,,,
Kimani Vidal,RB,Chargers,4227436,1056859,207436,51859,0.05,,,,,,,,,
Marcellas Dial,CB,Patriots,4232128,1058032,212128,53032,0.05,,,,,,,,,
Chris Rumph II,EDGE,Chargers,4233540,1058385,753540,188385,0.18,,,,,,,,,
Sataoa Laumea,RT,Seahawks,4236516,1059129,216516,54129,0.05,,,,,,,,,
Bobby Brown III,IDL,Rams,4236532,1059133,756532,189133,0.18,,,,,,,,,
Logan Lee,IDL,Steelers,4240072,1060018,220072,55018,0.05,,,,,,,,,
Walter Rouse,LT,Vikings,4246592,1061648,226592,56648,0.05,,,,,,,,,
Drew Dalman,C,Falcons,4256724,1064181,776724,194181,0.18,,,,,,,,,
Derrick Barnes,LB,Lions,4261208,1065302,781208,195302,0.18,,,,,,,,,
Cameron Sample,EDGE,Bengals,4268148,1067037,788148,197037,0.19,,,,,,,,,
Juwann Winfree,WR,Colts,2135000,1067500,0,0,0,,,,,,,,,
Lester Cotton,LG,Dolphins,2135000,1067500,0,0,0,,,,,,,,,
James Hudson,RT,Browns,4272416,1068104,792416,198104,0.19,,,,,,,,,
Bub Means,WR,Saints,4274276,1068569,254276,63569,0.06,,,,,,,,,
Caelen Carson,CB,Cowboys,4274276,1068569,254276,63569,0.06,,,,,,,,,
Isaiah Davis,RB,Jets,4274276,1068569,254276,63569,0.06,,,,,,,,,
Javon Solomon,EDGE,Bills,4274276,1068569,254276,63569,0.06,,,,,,,,,
Jaylan Ford,LB,Saints,4274276,1068569,254276,63569,0.06,,,,,,,,,
Jordan Travis,QB,Jets,4274276,1068569,254276,63569,0.06,,,,,,,,,
Kitan Oladapo,S,Packers,4274276,1068569,254276,63569,0.06,,,,,,,,,
Qwan'Tez Stiggers,CB,Jets,4274276,1068569,254276,63569,0.06,,,,,,,,,
Trevor Keegan,LG,Eagles,4274276,1068569,254276,63569,0.06,,,,,,,,,
Tyler Davis,TE,Packers,1075000,1075000,0,0,0,,,,,,,,,
Keilan Robinson,RB,Jaguars,4301956,1075489,281956,70489,0.07,,,,,,,,,
Jay Tufele,IDL,Bengals,4305684,1076421,825684,206421,0.19,,,,,,,,,
Tyrone Tracy Jr.,RB,Giants,4306352,1076588,286352,71588,0.07,,,,,,,,,
Rasheen Ali,RB,Ravens,4309868,1077467,289868,72467,0.07,,,,,,,,,
Cordell Volson,LG,Bengals,4316880,1079220,656880,164220,0.15,,,,,,,,,
Trayvon Mullen,CB,Ravens,1080000,1080000,0,0,0,,,,,,,,,
Jacob Monk,C,Packers,4321616,1080404,301616,75404,0.07,,,,,,,,,
Joshua Williams,CB,Chiefs,4326260,1081565,666260,166565,0.15,,,,,,,,,
Christian Jones,RT,Cardinals,4330456,1082614,310456,77614,0.07,,,,,,,,,
Spencer Burford,RG,49ers,4332056,1083014,672056,168014,0.16,,,,,,,,,
Dominique Hampton,S,Commanders,4333284,1083321,313284,78321,0.07,,,,,,,,,
Edefuan Ulofoshio,LB,Bills,4334024,1083506,314024,78506,0.07,,,,,,,,,
Hunter Nourzad,C,Chiefs,4339516,1084879,319516,79879,0.07,,,,,,,,,
Jake Camarda,P,Buccaneers,4340316,1085079,680316,170079,0.16,,,,,,,,,
Mohamed Kamara,EDGE,Dolphins,4340872,1085218,320872,80218,0.07,,,,,,,,,
Romeo Doubs,WR,Packers,4343916,1085979,683916,170979,0.16,,,,,,,,,
Chau Smith-Wade,CB,Panthers,4343984,1085996,323984,80996,0.08,,,,,,,,,
Jamari Thrash,WR,Browns,4345408,1086352,325408,81352,0.08,,,,,,,,,
Jeremiah Trotter Jr.,LB,Eagles,4348468,1087117,328468,82117,0.08,,,,,,,,,
Brennan Jackson,EDGE,Rams,4349368,1087342,329368,82342,0.08,,,,,,,,,
Aidan O'Connell,QB,Raiders,4349380,1087345,509380,127345,0.12,,,,,,,,,
Hassan Haskins,RB,Chargers,4352208,1088052,692208,173052,0.16,,,,,,,,,
Deantre Prince,CB,Jaguars,4352228,1088057,332228,83057,0.08,,,,,,,,,
Ainias Smith,WR,Eagles,4354296,1088574,334296,83574,0.08,,,,,,,,,
Spencer Rattler,QB,Saints,4356480,1089120,336480,84120,0.08,,,,,,,,,
Josh Newton,CB,Bengals,4357276,1089319,337276,84319,0.08,,,,,,,,,
Tommy Eichenberg,LB,Raiders,4357712,1089428,337712,84428,0.08,,,,,,,,,
Jordan Stout,P,Ravens,4357832,1089458,697832,174458,0.16,,,,,,,,,
Audric Estime,RB,Broncos,4359124,1089781,339124,84781,0.08,,,,,,,,,
Jaylon Carlies,S,Colts,4361240,1090310,336240,84060,0.08,,,,,,,,,
Jarvis Brownlee,CB,Titans,4362036,1090509,342036,85509,0.08,,,,,,,,,
Charlie Kolar,TE,Ravens,4364880,1091220,704880,176220,0.16,,,,,,,,,
Jake Ferguson,TE,Cowboys,4364880,1091220,704880,176220,0.16,,,,,,,,,
Kris Abrams-Draine,CB,Broncos,4368272,1092068,348272,87068,0.08,,,,,,,,,
Austin Booker,EDGE,Bears,4369136,1092284,349136,87284,0.08,,,,,,,,,
J.D. Bertrand,LB,Falcons,4370024,1092506,350024,87506,0.08,,,,,,,,,
Anthony Gould,WR,Colts,4372664,1093166,352664,88166,0.08,,,,,,,,,
Pierre Strong Jr.,RB,Browns,4373428,1093357,713428,178357,0.16,,,,,,,,,
Sedrick Van Pran-Granger,C,Bills,4375252,1093813,355252,88813,0.08,,,,,,,,,
Cam Hart,CB,Chargers,4383928,1095982,363928,90982,0.08,,,,,,,,,
Darian Kinnard,RT,Eagles,2195000,1097500,300000,150000,0.14,,,,,,,,,
Jordan Magee,LB,Commanders,4391228,1097807,371228,92807,0.09,,,,,,,,,
Xavier Thomas,EDGE,Cardinals,4392892,1098223,372892,93223,0.09,,,,,,,,,
Tarheeb Still,CB,Chargers,4395720,1098930,375720,93930,0.09,,,,,,,,,
Nehemiah Pritchett,CB,Seahawks,4399072,1099768,379072,94768,0.09,,,,,,,,,
Zamir White,RB,Raiders,4403924,1100981,743924,185981,0.17,,,,,,,,,
Jack Jones,CB,Raiders,4406984,1101746,746984,186746,0.17,,,,,,,,,
Jalyn Armour-Davis,CB,Ravens,4420324,1105081,760324,190081,0.17,,,,,,,,,
Akayleb Evans,CB,Vikings,4421076,1105269,761076,190269,0.17,,,,,,,,,
Micheal Clemons,EDGE,Jets,4424096,1106024,764096,191024,0.17,,,,,,,,,
Eyioma Uwazurike,IDL,Broncos,4425872,1106468,765872,191468,0.17,,,,,,,,,
Damarri Mathis,CB,Broncos,4438960,1109740,778960,194740,0.18,,,,,,,,,
Dane Belton,S,Giants,4444492,1111123,784492,196123,0.18,,,,,,,,,
Percy Butler,S,Commanders,4449020,1112255,789020,197255,0.18,,,,,,,,,
